Module,Endpoint Name,HTTP Method,URL Path,Request Payload,Expected Response,,
Auth,Login,POST,/api/auth/login,"{ ""phone"": ""..."", ""password"": ""..."" }","{ ""access_token"": ""..."", ""refresh_token"": ""..."", ""user"": { ... } }",,
Auth,Verify OTP,POST,/api/auth/verify-otp,"{ ""phone"": ""..."", ""otp"": ""..."" }","{ ""access_token"": ""..."", ""refresh_token"": ""..."", ""user"": { ... } }",,
Auth,Forgot Password,POST,/api/auth/forgot-password,"{ ""phone"": ""..."" }",Success message,,
Auth,Logout,POST,/api/auth/logout,(Requires Bearer Token),Success message,,
Auth,Get Profile,GET,/api/auth/profile,,User Object,,
Leads,Get All Leads,GET,/api/leads,"Query Params: page, per_page, status, search, source, department, staff_id, date_from, date_to",Paginated Array of Lead Objects,,
Leads,Get Lead Details,GET,/api/leads/:id,,Single Lead Object,,
Leads,Create Lead,POST,/api/leads,Lead Object fields (without ID),Created Lead Object,,
Leads,Update Lead,PUT / PATCH,/api/leads/:id,Subset of Lead Object fields,Updated Lead Object,,
Leads,Update Lead Status,PATCH,/api/leads/:id/status,"{ ""status"": ""..."" }",Updated Lead Object,,
Leads,Record Call Outcome,POST,/api/leads/:id/call-outcome,"{ ""call_result"": ""..."", ""no_answer_reason"": ""..."", ""remark1"": ""..."", ""next_follow_up_at"": ""..."" }",Updated Lead Object,,
Leads,Assign Doctor,POST,/api/leads/:id/assign-doctor,"{ ""doctor_id"": ""..."", ""doctor_name"": ""..."" }",Updated Lead Object,,
Dashboard,Dashboard Analytics,GET,/api/dashboard/stats,,Aggregate statistics (totals, conversions, etc.)
Doctors,Get Doctors List,GET,/api/doctors,,Array of Doctor Objects,,
Follow-Ups,Get Follow-Ups,GET,/api/follow-ups,Query Param: date,Array of Lead or Follow-Up Objects,,
Appointments,Get Appointments,GET,/api/appointments,,Array of Appointment Objects,,
